レシート番号,支店,性別,年代,曜日,日付,時刻,時間帯,レシート金額,商品名,購入商品数,商品順,単品購入,朝の購入,昼の購入,夜の購入,平日,土日,若年層,中年層,高年層,低額,中額,高額,カテゴリ,商品単価
R0001,中央区,女性,30代,金,2024/10/10,12:53,昼,820,野菜ジュース,4,1,0,0,1,0,1,0,0,1,0,0,0,1,飲み物,180
R0001,中央区,女性,30代,金,2024/10/10,12:53,昼,820,栄養ドリンク,4,2,0,0,1,0,1,0,0,1,0,0,0,1,飲み物,180
R0001,中央区,女性,30代,金,2024/10/10,12:53,昼,820,ヨーグルト,4,3,0,0,1,0,1,0,0,1,0,0,0,1,健康食品,190
R0001,中央区,女性,30代,金,2024/10/10,12:53,昼,820,フルーツ,4,4,0,0,1,0,1,0,0,1,0,0,0,1,健康食品,270
R0002,中央区,女性,10代,金,2024/09/25,15:55,昼,370,肉まん,2,1,0,0,1,0,1,0,1,0,0,0,1,0,インスタント食品,190
R0002,中央区,女性,10代,金,2024/09/25,15:55,昼,370,カップ麺,2,2,0,0,1,0,1,0,1,0,0,0,1,0,インスタント食品,180
R0003,中央区,男性,30代,土,2024/11/10,14:17,昼,470,サラダ,2,1,0,0,1,0,0,1,0,1,0,1,0,0,健康食品,290
R0003,中央区,男性,30代,土,2024/11/10,14:17,昼,470,野菜ジュース,2,2,0,0,1,0,0,1,0,1,0,1,0,0,飲み物,180
R0004,中央区,女性,40代,日,2024/01/26,07:24,朝,350,おにぎり,2,1,0,1,0,0,0,1,0,1,0,1,0,0,主食・基本食品,140
R0004,中央区,女性,40代,日,2024/01/26,07:24,朝,350,パン,2,2,0,1,0,0,0,1,0,1,0,1,0,0,主食・基本食品,210
R0005,中央区,女性,20代,火,2024/11/08,10:51,朝,650,冷凍食品,3,1,0,1,0,0,1,0,1,0,0,0,1,0,インスタント食品,300
R0005,中央区,女性,20代,火,2024/11/08,10:51,朝,650,カップ麺,3,2,0,1,0,0,1,0,1,0,0,0,1,0,インスタント食品,180
R0005,中央区,女性,20代,火,2024/11/08,10:51,朝,650,コーヒー,3,3,0,1,0,0,1,0,1,0,0,0,1,0,飲み物,170
R0006,中央区,男性,10代,月,2024/12/19,07:40,朝,920,おにぎり,4,1,0,1,0,0,1,0,1,0,0,0,1,0,主食・基本食品,140
R0006,中央区,男性,10代,月,2024/12/19,07:40,朝,920,卵,4,2,0,1,0,0,1,0,1,0,0,0,1,0,主食・基本食品,240
R0006,中央区,男性,10代,月,2024/12/19,07:40,朝,920,パン,4,3,0,1,0,0,1,0,1,0,0,0,1,0,主食・基本食品,210
R0006,中央区,男性,10代,月,2024/12/19,07:40,朝,920,トイレットペーパー,4,4,0,1,0,0,1,0,1,0,0,0,1,0,掃除・衛生用品,330
R0007,中央区,女性,60代以上,土,2024/01/18,18:03,夜,930,フルーツ,4,1,0,0,0,1,0,1,0,0,1,0,1,0,健康食品,270
R0007,中央区,女性,60代以上,土,2024/01/18,18:03,夜,930,ヨーグルト,4,2,0,0,0,1,0,1,0,0,1,0,1,0,健康食品,190
R0007,中央区,女性,60代以上,土,2024/01/18,18:03,夜,930,サラダ,4,3,0,0,0,1,0,1,0,0,1,0,1,0,健康食品,290
R0007,中央区,女性,60代以上,土,2024/01/18,18:03,夜,930,野菜ジュース,4,4,0,0,0,1,0,1,0,0,1,0,1,0,飲み物,180
R0008,中央区,男性,10代,日,2024/05/27,14:12,昼,640,フルーツ,3,1,0,0,1,0,0,1,1,0,0,0,1,0,健康食品,270
R0008,中央区,男性,10代,日,2024/05/27,14:12,昼,640,ヨーグルト,3,2,0,0,1,0,0,1,1,0,0,0,1,0,健康食品,190
R0008,中央区,男性,10代,日,2024/05/27,14:12,昼,640,野菜ジュース,3,3,0,0,1,0,0,1,1,0,0,0,1,0,飲み物,180
R0009,中央区,男性,60代以上,金,2024/08/21,15:57,昼,270,フルーツ,1,1,1,0,1,0,1,0,0,0,1,1,0,0,健康食品,270
R0010,中央区,女性,30代,水,2024/10/05,13:05,昼,120,お茶,1,1,1,0,1,0,1,0,0,1,0,1,0,0,飲み物,120
R0011,中央区,男性,20代,月,2024/10/23,22:05,夜,290,コーヒー,2,1,0,0,0,1,1,0,1,0,0,0,1,0,飲み物,170
R0011,中央区,男性,20代,月,2024/10/23,22:05,夜,290,お茶,2,2,0,0,0,1,1,0,1,0,0,0,1,0,飲み物,120
R0012,中央区,男性,40代,日,2024/08/05,12:32,昼,650,栄養ドリンク,3,1,0,0,1,0,0,1,0,1,0,0,1,0,飲み物,180
R0012,中央区,男性,40代,日,2024/08/05,12:32,昼,650,野菜ジュース,3,2,0,0,1,0,0,1,0,1,0,0,1,0,飲み物,180
R0012,中央区,男性,40代,日,2024/08/05,12:32,昼,650,サラダ,3,3,0,0,1,0,0,1,0,1,0,0,1,0,健康食品,290
R0013,中央区,男性,40代,日,2024/01/28,11:46,昼,1020,お茶,5,1,0,0,1,0,0,1,0,1,0,0,0,1,飲み物,120
R0013,中央区,男性,40代,日,2024/01/28,11:46,昼,1020,ジュース,5,2,0,0,1,0,0,1,0,1,0,0,0,1,飲み物,170
R0013,中央区,男性,40代,日,2024/01/28,11:46,昼,1020,コーヒー,5,3,0,0,1,0,0,1,0,1,0,0,0,1,飲み物,170
R0013,中央区,男性,40代,日,2024/01/28,11:46,昼,1020,サンドイッチ,5,4,0,0,1,0,0,1,0,1,0,0,0,1,インスタント食品,450
R0013,中央区,男性,40代,日,2024/01/28,11:46,昼,1020,ポテトチップス,5,5,0,0,1,0,0,1,0,1,0,0,0,1,お菓子・スナック,110
R0014,中央区,男性,50代,水,2024/08/22,16:00,昼,920,おにぎり,4,1,0,0,1,0,1,0,0,0,1,0,0,1,主食・基本食品,140
R0014,中央区,男性,50代,水,2024/08/22,16:00,昼,920,卵,4,2,0,0,1,0,1,0,0,0,1,0,0,1,主食・基本食品,240
